Data,Method,Sample Ratio,Dimension Ratio,Samples,Dimension,Algorithm,Mean Error,Mean Squared Error,Error Variance
yelp,raw,1,1.0,479,63,KNN1,0.6492693110647182,0.6531837160751566,0.2316330777847028
yelp,PCA,1,0.01,479,1,KNN1,0.6409185803757829,0.6500521920668059,0.239275565395897
yelp,MPCA,1,0.01,479,1,KNN1,0.6784968684759917,0.7690501043841336,0.30869210385240653
yelp,MPCA,10,0.01,4790,1,KNN1,0.6774530271398748,0.7606993736951984,0.3017567697142185
yelp,PCA,1,0.1,479,6,KNN1,0.6351774530271399,0.6546189979123174,0.2511686010782729
yelp,MPCA,1,0.1,479,6,KNN1,0.6096033402922756,0.6169102296450939,0.245293997149594
yelp,MPCA,10,0.1,4790,6,KNN1,0.6367432150313153,0.6555323590814196,0.25009043719300383
yelp,PCA,1,0.3333333333333333,479,21,KNN1,0.6403966597077244,0.6420929018789144,0.23198502011410338
yelp,MPCA,1,0.3333333333333333,479,21,KNN1,0.6456158663883089,0.6465292275574113,0.22970938062508445
yelp,MPCA,10,0.3333333333333333,4790,21,KNN1,0.6304801670146137,0.6270876826722338,0.2295824416734585
yelp,raw,1,1.0,479,63,KNN10,0.493162839248434,0.3759485908141961,0.13273900479861925
yelp,PCA,1,0.01,479,1,KNN10,0.5241649269311063,0.41014483298538623,0.13539596236069404
yelp,MPCA,1,0.01,479,1,KNN10,0.5452505219206678,0.44567458246346575,0.14837645080870462
yelp,MPCA,10,0.01,4790,1,KNN10,0.529853862212944,0.4324712943632565,0.1517261790612837
yelp,PCA,1,0.1,479,6,KNN10,0.4925365344467647,0.38238126304801673,0.13978902528318832
yelp,MPCA,1,0.1,479,6,KNN10,0.49629436325678544,0.3931954592901881,0.14688736428973023
yelp,MPCA,10,0.1,4790,6,KNN10,0.4955114822546975,0.3890579331941546,0.1435263041479073
yelp,PCA,1,0.3333333333333333,479,21,KNN10,0.5007306889352815,0.3817014613778707,0.13097023853626857
yelp,MPCA,1,0.3333333333333333,479,21,KNN10,0.4973382045929014,0.384168841336117,0.13682355158842577
yelp,MPCA,10,0.3333333333333333,4790,21,KNN10,0.4926409185803757,0.37353209812108606,0.13083702346136916
mnist,raw,1,1.0,10000,784,KNN1,0.0529,0.0529,0.050101590000000015
mnist,PCA,1,0.01,10000,8,KNN1,0.1389,0.1389,0.11960678999999998
mnist,MPCA,1,0.01,10000,8,KNN1,0.1352,0.1352,0.11692095999999996
mnist,MPCA,10,0.01,100000,8,KNN1,0.1343,0.1343,0.11626351000000001
mnist,PCA,1,0.1,10000,78,KNN1,0.0463,0.0463,0.04415631000000001
mnist,MPCA,1,0.1,10000,78,KNN1,0.0467,0.0467,0.04451911
mnist,MPCA,10,0.1,100000,78,KNN1,0.0463,0.0463,0.04415631000000001
mnist,PCA,1,0.3333333333333333,10000,261,KNN1,0.0522,0.0522,0.04947515999999998
mnist,MPCA,1,0.3333333333333333,10000,261,KNN1,0.0522,0.0522,0.04947515999999998
mnist,MPCA,10,0.3333333333333333,100000,261,KNN1,0.0526,0.0526,0.04983324
mnist,raw,1,1.0,10000,784,KNN10,0.0575,0.0575,0.05419374999999999
mnist,PCA,1,0.01,10000,8,KNN10,0.1107,0.1107,0.09844551
mnist,MPCA,1,0.01,10000,8,KNN10,0.1095,0.1095,0.09750974999999999
mnist,MPCA,10,0.01,100000,8,KNN10,0.1072,0.1072,0.09570816000000001
mnist,PCA,1,0.1,10000,78,KNN10,0.0512,0.0512,0.048578559999999986
mnist,MPCA,1,0.1,10000,78,KNN10,0.051,0.051,0.04839899999999999
mnist,MPCA,10,0.1,100000,78,KNN10,0.0515,0.0515,0.04884775
mnist,PCA,1,0.3333333333333333,10000,261,KNN10,0.0566,0.0566,0.05339644000000001
mnist,MPCA,1,0.3333333333333333,10000,261,KNN10,0.0558,0.0558,0.052686360000000015
mnist,MPCA,10,0.3333333333333333,100000,261,KNN10,0.0564,0.0564,0.053219039999999995
cifar,raw,1,1.0,10000,3072,KNN1,0.7099,0.7099,0.20594199
cifar,PCA,1,0.01,10000,31,KNN1,0.6813,0.6813,0.21713030999999997
cifar,MPCA,1,0.01,10000,31,KNN1,0.6811,0.6811,0.21720278999999995
cifar,MPCA,10,0.01,100000,31,KNN1,0.681,0.681,0.21723899999999993
cifar,PCA,1,0.1,10000,307,KNN1,0.7061,0.7061,0.20752279000000004
cifar,MPCA,1,0.1,10000,307,KNN1,0.7065,0.7065,0.20735774999999998
cifar,MPCA,10,0.1,100000,307,KNN1,0.7066,0.7066,0.20731644000000002
cifar,PCA,1,0.3333333333333333,10000,1024,KNN1,0.7098,0.7098,0.20598395999999997
cifar,MPCA,1,0.3333333333333333,10000,1024,KNN1,0.7101,0.7101,0.20585799000000007
cifar,MPCA,10,0.3333333333333333,100000,1024,KNN1,0.7098,0.7098,0.20598395999999997
cifar,raw,1,1.0,10000,3072,KNN10,0.7031,0.7031,0.20875038999999998
cifar,PCA,1,0.01,10000,31,KNN10,0.6436,0.6436,0.22937903999999995
cifar,MPCA,1,0.01,10000,31,KNN10,0.6433,0.6433,0.22946510999999997
cifar,MPCA,10,0.01,100000,31,KNN10,0.6426,0.6426,0.22966524
cifar,PCA,1,0.1,10000,307,KNN10,0.6946,0.6946,0.21213084000000004
cifar,MPCA,1,0.1,10000,307,KNN10,0.6953,0.6953,0.21185790999999998
cifar,MPCA,10,0.1,100000,307,KNN10,0.6946,0.6946,0.21213084000000004
cifar,PCA,1,0.3333333333333333,10000,1024,KNN10,0.7016,0.7016,0.2093574400000001
cifar,MPCA,1,0.3333333333333333,10000,1024,KNN10,0.7017,0.7017,0.20931711
cifar,MPCA,10,0.3333333333333333,100000,1024,KNN10,0.7023,0.7023,0.20907471
